"","AOI","Light","Temp","Time","Cell","Species","final_fvfm","initial_fvfm","post","fvfm_prop_io","unique_sample1","unique_sample","Species_sample"
"1",1,"Moderate",48,15,"A1","Vicia faba",0,0.838,0.291,0,1,3,"Vicia faba_3"
"2",1,"Low",30,5,"A1","Vicia faba",0.786,0.808,0.758,0.972772277227723,1,2,"Vicia faba_2"
"3",1,"None",48,5,"A1","Vicia faba",0.584,0.806,0.594,0.724565756823821,1,4,"Vicia faba_4"
"4",1,"Moderate",44,15,"A1","Vicia faba",0.091,0.825,0.298,0.11030303030303,1,3,"Vicia faba_3"
"5",1,"Low",40,60,"A1","Vicia faba",0.675,0.834,0.514,0.809352517985612,1,2,"Vicia faba_2"
"6",1,"High",52,60,"A1","Vicia faba",0,0.83,0,0,1,1,"Vicia faba_1"
"7",1,"None",44,15,"A1","Vicia faba",0.695,0.8,0.601,0.86875,1,4,"Vicia faba_4"
"8",1,"Moderate",30,30,"A1","Vicia faba",0.831,0.796,0.819,1,1,3,"Vicia faba_3"
"9",1,"Moderate",42,15,"A1","Vicia faba",0.648,0.849,0.517,0.763250883392226,1,3,"Vicia faba_3"
"10",1,"High",48,60,"A1","Vicia faba",0,0.782,0,0,1,1,"Vicia faba_1"
"11",1,"High",48,30,"A1","Vicia faba",0,0.848,0,0,1,1,"Vicia faba_1"
"12",1,"None",30,30,"A1","Vicia faba",0.808,0.84,0.797,0.961904761904762,1,4,"Vicia faba_4"
"13",1,"Low",52,15,"A1","Vicia faba",0,0.835,0,0,1,2,"Vicia faba_2"
"14",1,"High",44,30,"A1","Vicia faba",0.261,0.822,0.204,0.317518248175183,1,1,"Vicia faba_1"
"15",1,"High",42,30,"A1","Vicia faba",0.318,0.818,0.213,0.388753056234719,1,1,"Vicia faba_1"
"16",1,"Moderate",52,5,"A1","Vicia faba",0,0.816,0.311,0,1,3,"Vicia faba_3"
"17",1,"Low",48,15,"A1","Vicia faba",0.341,0.863,0.252,0.39513325608343,1,2,"Vicia faba_2"
"18",1,"Low",44,5,"A1","Vicia faba",0.716,0.784,0.453,0.913265306122449,1,2,"Vicia faba_2"
"19",1,"High",30,15,"A1","Vicia faba",0.797,0.79,0.796,1,1,1,"Vicia faba_1"
"20",1,"Low",58,5,"A1","Vicia faba",0,0.819,0.065,0,1,2,"Vicia faba_2"
"21",1,"Low",42,15,"A1","Vicia faba",0.68,0.794,NA,0.856423173803527,1,2,"Vicia faba_2"
"22",1,"Low",30,60,"A1","Vicia faba",0.796,0.809,0.767,0.983930778739184,1,2,"Vicia faba_2"
"23",1,"None",48,60,"A1","Vicia faba",0.323,0.83,0.264,0.389156626506024,1,4,"Vicia faba_4"
"24",1,"High",54,15,"A1","Vicia faba",0,0.817,0,0,1,1,"Vicia faba_1"
"25",1,"None",44,30,"A1","Vicia faba",0.558,0.837,0.455,0.666666666666667,1,4,"Vicia faba_4"
"26",1,"High",52,15,"A1","Vicia faba",0,0.802,0,0,1,1,"Vicia faba_1"
"27",1,"High",48,5,"A1","Vicia faba",0.223,0.834,0.317,0.267386091127098,1,1,"Vicia faba_1"
"28",1,"None",30,5,"A1","Vicia faba",0.862,0.86,0.82,1,1,4,"Vicia faba_4"
"29",1,"High",44,5,"A1","Vicia faba",0.458,0.838,0.472,0.54653937947494,1,1,"Vicia faba_1"
"30",1,"High",44,15,"A1","Vicia faba",0.275,0.778,0.258,0.353470437017995,1,1,"Vicia faba_1"
"31",1,"Moderate",52,60,"A1","Vicia faba",0,0.82,0,0,1,3,"Vicia faba_3"
"32",1,"High",30,30,"A1","Vicia faba",0.814,0.816,0.801,0.997549019607843,1,1,"Vicia faba_1"
"33",1,"Moderate",48,30,"A1","Vicia faba",0,0.809,0,0,1,3,"Vicia faba_3"
"34",1,"Moderate",44,30,"A1","Vicia faba",0.463,0.832,0.459,0.556490384615385,1,3,"Vicia faba_3"
"35",1,"Moderate",42,30,"A1","Vicia faba",0.453,0.839,0.377,0.539928486293206,1,3,"Vicia faba_3"
"36",1,"Moderate",30,5,"A1","Vicia faba",0.805,0.806,0.81,0.998759305210918,1,3,"Vicia faba_3"
"37",1,"Moderate",30,15,"A1","Vicia faba",0.855,0.787,0.837,1,1,3,"Vicia faba_3"
"38",1,"Low",52,30,"A1","Vicia faba",0,0.839,0,0,1,2,"Vicia faba_2"
"39",1,"Low",48,30,"A1","Vicia faba",0,0.837,0.15,0,1,2,"Vicia faba_2"
"40",1,"Low",44,60,"A1","Vicia faba",0.096,0.805,0.101,0.119254658385093,1,2,"Vicia faba_2"
"41",1,"Low",42,30,"A1","Vicia faba",0.582,0.837,0.43,0.695340501792115,1,2,"Vicia faba_2"
"42",1,"None",52,15,"A1","Vicia faba",0,0.835,0.429,0,1,4,"Vicia faba_4"
"43",1,"High",54,5,"A1","Vicia faba",0,0.814,0.389,0,1,1,"Vicia faba_1"
"44",1,"None",44,5,"A1","Vicia faba",0.759,0.829,0.701,0.915560916767189,1,4,"Vicia faba_4"
"45",1,"High",52,30,"A1","Vicia faba",0,0.806,0,0,1,1,"Vicia faba_1"
"46",1,"None",30,60,"A1","Vicia faba",0.829,0.829,0.799,1,1,4,"Vicia faba_4"
"47",1,"High",44,60,"A1","Vicia faba",0.132,0.851,0.09,0.155111633372503,1,1,"Vicia faba_1"
"48",1,"Moderate",54,15,"A1","Vicia faba",0,0.814,0,0,1,3,"Vicia faba_3"
"49",1,"High",30,5,"A1","Vicia faba",0.827,0.784,0.774,1,1,1,"Vicia faba_1"
"50",1,"Moderate",48,5,"A1","Vicia faba",0.29,0.822,0.309,0.352798053527981,1,3,"Vicia faba_3"
"51",1,"None",52,5,"A1","Vicia faba",0.542,0.821,0.635,0.660170523751523,1,4,"Vicia faba_4"
"52",1,"Moderate",44,5,"A1","Vicia faba",0.486,0.835,0.426,0.582035928143713,1,3,"Vicia faba_3"
"53",1,"Low",30,15,"A1","Vicia faba",0.816,0.799,0.766,1,1,2,"Vicia faba_2"
"54",1,"Moderate",30,60,"A1","Vicia faba",0.809,0.767,0.734,1,1,3,"Vicia faba_3"
"55",1,"None",42,15,"A1","Vicia faba",0.754,0.829,0.686,0.909529553679132,1,4,"Vicia faba_4"
"56",1,"Low",52,5,"A1","Vicia faba",0,0.79,0.479,0,1,2,"Vicia faba_2"
"57",1,"Moderate",58,5,"A1","Vicia faba",0,0.807,0,0,1,3,"Vicia faba_3"
"58",1,"Low",48,5,"A1","Vicia faba",0.245,0.835,0.458,0.293413173652695,1,2,"Vicia faba_2"
"59",1,"High",40,60,"A1","Vicia faba",0.232,0.827,0.304,0.280532043530834,1,1,"Vicia faba_1"
"60",1,"Low",44,15,"A1","Vicia faba",0.166,0.806,0.338,0.205955334987593,1,2,"Vicia faba_2"
"61",1,"None",52,60,"A1","Vicia faba",0,0.822,0.219,0,1,4,"Vicia faba_4"
"62",1,"None",30,15,"A1","Vicia faba",0.808,0.822,0.841,0.982968369829684,1,4,"Vicia faba_4"
"63",1,"None",52,30,"A1","Vicia faba",0.198,0.834,0.061,0.237410071942446,1,4,"Vicia faba_4"
"64",1,"Low",30,30,"A1","Vicia faba",0.847,0.806,0.806,1,1,2,"Vicia faba_2"
"65",1,"High",58,5,"A1","Vicia faba",0,0.81,0,0,1,1,"Vicia faba_1"
"66",1,"None",44,60,"A1","Vicia faba",0.551,0.804,0.385,0.685323383084577,1,4,"Vicia faba_4"
"67",1,"High",52,5,"A1","Vicia faba",0.065,0.8,0.282,0.08125,1,1,"Vicia faba_1"
"68",1,"None",42,30,"A1","Vicia faba",0.681,0.863,0.69,0.789107763615296,1,4,"Vicia faba_4"
"69",1,"None",40,60,"A1","Vicia faba",0.716,0.812,0.728,0.881773399014778,1,4,"Vicia faba_4"
"70",1,"High",48,15,"A1","Vicia faba",0,0.849,0.205,0,1,1,"Vicia faba_1"
"71",1,"Moderate",40,60,"A1","Vicia faba",0.338,0.824,0.296,0.410194174757282,1,3,"Vicia faba_3"
"72",1,"Moderate",54,5,"A1","Vicia faba",0,0.81,0.197,0,1,3,"Vicia faba_3"
"73",1,"High",42,15,"A1","Vicia faba",0.613,0.809,0.395,0.757725587144623,1,1,"Vicia faba_1"
"74",1,"High",30,60,"A1","Vicia faba",0.802,0.806,0.746,0.995037220843672,1,1,"Vicia faba_1"
"75",1,"Moderate",48,60,"A1","Vicia faba",0,0.802,0,0,1,3,"Vicia faba_3"
"76",1,"Moderate",44,60,"A1","Vicia faba",0.047,0.867,0,0.0542099192618224,1,3,"Vicia faba_3"
"77",1,"Low",44,30,"A1","Vicia faba",0.407,0.811,0.252,0.501849568434032,1,2,"Vicia faba_2"
"78",1,"Low",52,60,"A1","Vicia faba",0,0.846,0,0,1,2,"Vicia faba_2"
"79",1,"Low",48,60,"A1","Vicia faba",0,0.838,0,0,1,2,"Vicia faba_2"
"80",1,"None",54,15,"A1","Vicia faba",0,0.816,0.113,0,1,4,"Vicia faba_4"
"81",1,"None",48,15,"A1","Vicia faba",0.464,0.838,0.591,0.553699284009547,1,4,"Vicia faba_4"
"82",1,"Moderate",52,15,"A1","Vicia faba",0,0.8,0.11,0,1,3,"Vicia faba_3"
"83",1,"None",58,5,"A1","Vicia faba",0,0.794,0.217,0,1,4,"Vicia faba_4"
"84",1,"Low",54,15,"A1","Vicia faba",0,0.812,0,0,1,2,"Vicia faba_2"
"85",1,"None",48,30,"A1","Vicia faba",0,0.796,0.378,0,1,4,"Vicia faba_4"
"86",1,"None",54,5,"A1","Vicia faba",0.338,0.797,0.585,0.424090338770389,1,4,"Vicia faba_4"
"87",1,"Moderate",52,30,"A1","Vicia faba",0,0.81,0,0,1,3,"Vicia faba_3"
"88",1,"Low",54,5,"A1","Vicia faba",0,0.822,0.456,0,1,2,"Vicia faba_2"
"89",10,"None",52,15,"B5","Populus nigra",0.148,0.856,0.558,0.172897196261682,2,48,"Populus nigra_48"
"90",10,"High",52,60,"B5","Populus nigra",0,0.858,0,0,2,45,"Populus nigra_45"
"91",10,"None",48,60,"B5","Populus nigra",0.623,0.852,0.502,0.731220657276995,2,48,"Populus nigra_48"
"92",10,"None",48,5,"B5","Populus nigra",0.794,0.833,0.756,0.953181272509004,2,48,"Populus nigra_48"
"93",10,"None",44,30,"B5","Populus nigra",0.817,0.855,0.789,0.955555555555555,2,48,"Populus nigra_48"
"94",10,"High",54,15,"B5","Populus nigra",0,0.846,0,0,2,45,"Populus nigra_45"
"95",10,"None",44,15,"B5","Populus nigra",0.847,0.834,0.769,1,2,48,"Populus nigra_48"
"96",10,"None",52,30,"B5","Populus nigra",0.408,0.868,0.586,0.470046082949309,2,48,"Populus nigra_48"
"97",10,"Low",40,60,"B5","Populus nigra",0.837,0.844,0.644,0.991706161137441,2,46,"Populus nigra_46"
"98",10,"Low",30,5,"B5","Populus nigra",0.839,0.853,0.806,0.98358733880422,2,46,"Populus nigra_46"
"99",10,"None",52,5,"B5","Populus nigra",0.689,0.859,0.736,0.80209545983702,2,48,"Populus nigra_48"
"100",10,"High",54,5,"B5","Populus nigra",0.246,0.858,0.349,0.286713286713287,2,45,"Populus nigra_45"
"101",10,"Moderate",48,15,"B5","Populus nigra",0.563,0.863,0.46,0.652375434530707,2,47,"Populus nigra_47"
"102",10,"Low",42,15,"B5","Populus nigra",0.808,0.823,NA,0.981773997569866,2,46,"Populus nigra_46"
"103",10,"None",44,5,"B5","Populus nigra",0.832,0.844,0.809,0.985781990521327,2,48,"Populus nigra_48"
"104",10,"Moderate",42,15,"B5","Populus nigra",0.815,0.876,0.642,0.930365296803653,2,47,"Populus nigra_47"
"105",10,"None",48,15,"B5","Populus nigra",0.756,0.853,0.735,0.886283704572098,2,48,"Populus nigra_48"
"106",10,"Moderate",42,30,"B5","Populus nigra",0.8,0.854,0.507,0.936768149882904,2,47,"Populus nigra_47"
"107",10,"Moderate",48,30,"B5","Populus nigra",0.35,0.842,0.323,0.415676959619952,2,47,"Populus nigra_47"
"108",10,"Low",30,60,"B5","Populus nigra",0.843,0.843,0.814,1,2,46,"Populus nigra_46"
"109",10,"None",30,60,"B5","Populus nigra",0.849,0.846,0.823,1,2,48,"Populus nigra_48"
"110",10,"Low",54,15,"B5","Populus nigra",0.226,0.834,0.14,0.270983213429257,2,46,"Populus nigra_46"
"111",10,"None",40,60,"B5","Populus nigra",0.814,0.837,0.762,0.972520908004779,2,48,"Populus nigra_48"
"112",10,"None",52,60,"B5","Populus nigra",0.276,0.858,0.365,0.321678321678322,2,48,"Populus nigra_48"
"113",10,"Low",42,30,"B5","Populus nigra",0.807,0.863,0.605,0.935110081112399,2,46,"Populus nigra_46"
"114",10,"None",48,30,"B5","Populus nigra",0.594,0.827,0.319,0.71825876662636,2,48,"Populus nigra_48"
"115",10,"None",44,60,"B5","Populus nigra",0.767,0.834,0.537,0.919664268585132,2,48,"Populus nigra_48"
"116",10,"High",58,5,"B5","Populus nigra",0,0.837,0.128,0,2,45,"Populus nigra_45"
"117",10,"Moderate",44,15,"B5","Populus nigra",0.771,0.863,0.638,0.893395133256083,2,47,"Populus nigra_47"
"118",10,"Low",30,15,"B5","Populus nigra",0.864,0.827,0.815,1,2,46,"Populus nigra_46"
"119",10,"None",54,15,"B5","Populus nigra",0.549,0.837,0.605,0.655913978494624,2,48,"Populus nigra_48"
"120",10,"Moderate",48,5,"B5","Populus nigra",0.614,0.833,0.429,0.737094837935174,2,47,"Populus nigra_47"
"121",10,"Low",54,5,"B5","Populus nigra",0.41,0.846,0.54,0.484633569739953,2,46,"Populus nigra_46"
"122",10,"Low",58,5,"B5","Populus nigra",0,0.847,0.245,0,2,46,"Populus nigra_46"
"123",10,"High",48,60,"B5","Populus nigra",0.23,0.835,0.138,0.275449101796407,2,45,"Populus nigra_45"
"124",10,"Low",44,15,"B5","Populus nigra",0.775,0.842,0.472,0.920427553444181,2,46,"Populus nigra_46"
"125",10,"Low",48,15,"B5","Populus nigra",0.588,0.872,0.595,0.674311926605505,2,46,"Populus nigra_46"
"126",10,"Moderate",52,5,"B5","Populus nigra",0.505,0.852,0.476,0.592723004694836,2,47,"Populus nigra_47"
"127",10,"None",54,5,"B5","Populus nigra",0.598,0.843,0.62,0.709371293001186,2,48,"Populus nigra_48"
"128",10,"High",30,15,"B5","Populus nigra",0.835,0.815,0.79,1,2,45,"Populus nigra_45"
"129",10,"None",42,15,"B5","Populus nigra",0.851,0.85,0.803,1,2,48,"Populus nigra_48"
"130",10,"Low",30,30,"B5","Populus nigra",0.867,0.831,0.816,1,2,46,"Populus nigra_46"
"131",10,"Moderate",48,60,"B5","Populus nigra",0.167,0.833,0.168,0.200480192076831,2,47,"Populus nigra_47"
"132",10,"Moderate",30,60,"B5","Populus nigra",0.856,0.834,0.808,1,2,47,"Populus nigra_47"
"133",10,"None",42,30,"B5","Populus nigra",0.819,0.872,0.807,0.939220183486238,2,48,"Populus nigra_48"
"134",10,"High",52,15,"B5","Populus nigra",0.158,0.845,0.313,0.18698224852071,2,45,"Populus nigra_45"
"135",10,"Low",52,5,"B5","Populus nigra",0.581,0.845,0.542,0.687573964497041,2,46,"Populus nigra_46"
"136",10,"Moderate",52,60,"B5","Populus nigra",0,0.845,0,0,2,47,"Populus nigra_47"
"137",10,"Moderate",54,15,"B5","Populus nigra",0.124,0.841,0.159,0.147443519619501,2,47,"Populus nigra_47"
"138",10,"Moderate",54,5,"B5","Populus nigra",0.374,0.832,0.217,0.449519230769231,2,47,"Populus nigra_47"
"139",10,"Low",48,30,"B5","Populus nigra",0.526,0.865,0.448,0.608092485549133,2,46,"Populus nigra_46"
"140",10,"Moderate",44,30,"B5","Populus nigra",0.681,0.854,0.573,0.797423887587822,2,47,"Populus nigra_47"
"141",10,"Moderate",40,60,"B5","Populus nigra",0.812,0.837,0.677,0.970131421744325,2,47,"Populus nigra_47"
"142",10,"Moderate",30,15,"B5","Populus nigra",0.867,0.823,0.849,1,2,47,"Populus nigra_47"
"143",10,"Low",52,60,"B5","Populus nigra",0.121,0.875,0,0.138285714285714,2,46,"Populus nigra_46"
"144",10,"Low",44,30,"B5","Populus nigra",0.838,0.837,0.552,1,2,46,"Populus nigra_46"
"145",10,"High",30,30,"B5","Populus nigra",0.819,0.83,0.788,0.986746987951807,2,45,"Populus nigra_45"
"146",10,"None",58,5,"B5","Populus nigra",0.237,0.825,0.625,0.287272727272727,2,48,"Populus nigra_48"
"147",10,"Moderate",58,5,"B5","Populus nigra",0,0.824,0,0,2,47,"Populus nigra_47"
"148",10,"Moderate",52,15,"B5","Populus nigra",0.258,0.833,0.303,0.309723889555822,2,47,"Populus nigra_47"
"149",10,"High",52,30,"B5","Populus nigra",0.106,0.835,0.065,0.126946107784431,2,45,"Populus nigra_45"
"150",10,"Low",44,5,"B5","Populus nigra",0.869,0.846,0.747,1,2,46,"Populus nigra_46"
"151",10,"High",30,5,"B5","Populus nigra",0.861,0.836,0.815,1,2,45,"Populus nigra_45"
"152",10,"Moderate",44,5,"B5","Populus nigra",0.81,0.887,0.642,0.913190529875986,2,47,"Populus nigra_47"
"153",10,"None",30,30,"B5","Populus nigra",0.837,0.866,0.834,0.966512702078522,2,48,"Populus nigra_48"
"154",10,"Moderate",44,60,"B5","Populus nigra",0.403,0.884,0.652,0.455882352941177,2,47,"Populus nigra_47"
"155",10,"Low",48,5,"B5","Populus nigra",0.693,0.865,0.633,0.801156069364162,2,46,"Populus nigra_46"
"156",10,"Moderate",30,30,"B5","Populus nigra",0.865,0.848,0.855,1,2,47,"Populus nigra_47"
"157",10,"Moderate",52,30,"B5","Populus nigra",0.09,0.837,0.05,0.10752688172043,2,47,"Populus nigra_47"
"158",10,"High",30,60,"B5","Populus nigra",0.853,0.855,0.797,0.99766081871345,2,45,"Populus nigra_45"
"159",10,"High",44,30,"B5","Populus nigra",0.742,0.849,0.647,0.87396937573616,2,45,"Populus nigra_45"
"160",10,"High",52,5,"B5","Populus nigra",0.327,0.847,0.27,0.386068476977568,2,45,"Populus nigra_45"
"161",10,"None",30,5,"B5","Populus nigra",0.866,0.874,0.833,0.990846681922197,2,48,"Populus nigra_48"
"162",10,"None",30,15,"B5","Populus nigra",0.852,0.86,0.87,0.990697674418605,2,48,"Populus nigra_48"
"163",10,"High",48,15,"B5","Populus nigra",0.401,0.871,0.514,0.460390355912744,2,45,"Populus nigra_45"
"164",10,"High",44,5,"B5","Populus nigra",0.639,0.87,0.5,0.73448275862069,2,45,"Populus nigra_45"
"165",10,"High",44,60,"B5","Populus nigra",0.567,0.88,0.426,0.644318181818182,2,45,"Populus nigra_45"
"166",10,"Low",44,60,"B5","Populus nigra",0.548,0.837,0.439,0.654719235364397,2,46,"Populus nigra_46"
"167",10,"Low",48,60,"B5","Populus nigra",0.367,0.877,0.261,0.418472063854048,2,46,"Populus nigra_46"
"168",10,"Moderate",30,5,"B5","Populus nigra",0.841,0.85,0.852,0.989411764705882,2,47,"Populus nigra_47"
"169",10,"Low",52,15,"B5","Populus nigra",0.42,0.855,0.277,0.491228070175439,2,46,"Populus nigra_46"
"170",10,"High",40,60,"B5","Populus nigra",0.736,0.838,0.572,0.878281622911695,2,45,"Populus nigra_45"
"171",10,"Low",52,30,"B5","Populus nigra",0.088,0.864,0.088,0.101851851851852,2,46,"Populus nigra_46"
"172",10,"High",42,15,"B5","Populus nigra",0.839,0.834,0.532,1,2,45,"Populus nigra_45"
"173",10,"High",48,30,"B5","Populus nigra",0.247,0.882,0.382,0.280045351473923,2,45,"Populus nigra_45"
"174",10,"High",42,30,"B5","Populus nigra",0.787,0.849,0.591,0.926972909305065,2,45,"Populus nigra_45"
"175",10,"High",44,15,"B5","Populus nigra",0.791,0.819,0.631,0.965811965811966,2,45,"Populus nigra_45"
"176",10,"High",48,5,"B5","Populus nigra",0.71,0.87,0.61,0.816091954022989,2,45,"Populus nigra_45"
"177",11,"None",44,30,"C1","Lomandra longifolia",0.781,0.788,0.705,0.991116751269036,3,56,"Lomandra longifolia_56"
"178",11,"None",44,5,"C1","Lomandra longifolia",0.821,0.816,0.788,1,3,56,"Lomandra longifolia_56"
"179",11,"None",48,60,"C1","Lomandra longifolia",0.817,0.793,0.64,1,3,56,"Lomandra longifolia_56"
"180",11,"None",44,15,"C1","Lomandra longifolia",0.842,0.79,0.768,1,3,56,"Lomandra longifolia_56"
"181",11,"None",52,5,"C1","Lomandra longifolia",0.795,0.826,0.777,0.962469733656174,3,56,"Lomandra longifolia_56"
"182",11,"Moderate",42,15,"C1","Lomandra longifolia",0.745,0.788,0.652,0.945431472081218,3,55,"Lomandra longifolia_55"
"183",11,"Moderate",48,15,"C1","Lomandra longifolia",0.777,0.816,0.579,0.952205882352941,3,55,"Lomandra longifolia_55"
"184",11,"High",54,5,"C1","Lomandra longifolia",0.474,0.796,0.347,0.595477386934673,3,53,"Lomandra longifolia_53"
"185",11,"None",52,15,"C1","Lomandra longifolia",0.611,0.822,0.696,0.74330900243309,3,56,"Lomandra longifolia_56"
"186",11,"None",48,5,"C1","Lomandra longifolia",0.814,0.773,0.749,1,3,56,"Lomandra longifolia_56"
"187",11,"High",52,60,"C1","Lomandra longifolia",0.268,0.813,0.236,0.329643296432964,3,53,"Lomandra longifolia_53"
"188",11,"None",44,60,"C1","Lomandra longifolia",0.808,0.785,0.717,1,3,56,"Lomandra longifolia_56"
"189",11,"None",52,30,"C1","Lomandra longifolia",0.527,0.831,0.403,0.634175691937425,3,56,"Lomandra longifolia_56"
"190",11,"Moderate",44,15,"C1","Lomandra longifolia",0.712,0.81,0.562,0.879012345679012,3,55,"Lomandra longifolia_55"
"191",11,"Moderate",42,30,"C1","Lomandra longifolia",0.742,0.781,0.49,0.950064020486556,3,55,"Lomandra longifolia_55"
"192",11,"None",52,60,"C1","Lomandra longifolia",0.435,0.773,0.507,0.5627425614489,3,56,"Lomandra longifolia_56"
"193",11,"Low",40,60,"C1","Lomandra longifolia",0.82,0.813,0.673,1,3,54,"Lomandra longifolia_54"
"194",11,"Low",54,15,"C1","Lomandra longifolia",0.591,0.776,0.395,0.76159793814433,3,54,"Lomandra longifolia_54"
"195",11,"High",54,15,"C1","Lomandra longifolia",0.087,0.777,0.05,0.111969111969112,3,53,"Lomandra longifolia_53"
"196",11,"None",48,15,"C1","Lomandra longifolia",0.816,0.806,0.763,1,3,56,"Lomandra longifolia_56"
"197",11,"Moderate",44,30,"C1","Lomandra longifolia",0.833,0.812,0.781,1,3,55,"Lomandra longifolia_55"
"198",11,"High",58,5,"C1","Lomandra longifolia",0.124,0.796,0.189,0.155778894472362,3,53,"Lomandra longifolia_53"
"199",11,"None",48,30,"C1","Lomandra longifolia",0.786,0.728,0.564,1,3,56,"Lomandra longifolia_56"
"200",11,"Moderate",48,30,"C1","Lomandra longifolia",0.646,0.812,0.412,0.795566502463054,3,55,"Lomandra longifolia_55"
"201",11,"Low",48,15,"C1","Lomandra longifolia",0.759,0.845,0.673,0.898224852071006,3,54,"Lomandra longifolia_54"
"202",11,"Low",54,5,"C1","Lomandra longifolia",0.655,0.779,0.464,0.840821566110398,3,54,"Lomandra longifolia_54"
"203",11,"Low",42,15,"C1","Lomandra longifolia",0.778,0.778,NA,1,3,54,"Lomandra longifolia_54"
"204",11,"None",40,60,"C1","Lomandra longifolia",0.77,0.787,0.777,0.978398983481576,3,56,"Lomandra longifolia_56"
"205",11,"None",42,15,"C1","Lomandra longifolia",0.822,0.816,0.794,1,3,56,"Lomandra longifolia_56"
"206",11,"Low",58,5,"C1","Lomandra longifolia",0.061,0.79,0.342,0.0772151898734177,3,54,"Lomandra longifolia_54"
"207",11,"None",30,60,"C1","Lomandra longifolia",0.78,0.802,0.77,0.972568578553616,3,56,"Lomandra longifolia_56"
"208",11,"High",30,15,"C1","Lomandra longifolia",0.785,0.774,0.761,1,3,53,"Lomandra longifolia_53"
"209",11,"Moderate",44,5,"C1","Lomandra longifolia",0.748,0.792,0.604,0.944444444444444,3,55,"Lomandra longifolia_55"
"210",11,"None",54,15,"C1","Lomandra longifolia",0.192,0.779,0.335,0.246469833119384,3,56,"Lomandra longifolia_56"
"211",11,"Low",48,30,"C1","Lomandra longifolia",0.771,0.828,0.46,0.931159420289855,3,54,"Lomandra longifolia_54"
"212",11,"Low",30,5,"C1","Lomandra longifolia",0.798,0.81,0.763,0.985185185185185,3,54,"Lomandra longifolia_54"
"213",11,"Low",30,15,"C1","Lomandra longifolia",0.784,0.733,0.719,1,3,54,"Lomandra longifolia_54"
"214",11,"Low",42,30,"C1","Lomandra longifolia",0.804,0.83,0.742,0.968674698795181,3,54,"Lomandra longifolia_54"
"215",11,"Moderate",30,60,"C1","Lomandra longifolia",0.76,0.774,0.657,0.981912144702842,3,55,"Lomandra longifolia_55"
"216",11,"Moderate",54,15,"C1","Lomandra longifolia",0.195,0.812,0.111,0.240147783251232,3,55,"Lomandra longifolia_55"
"217",11,"Moderate",48,5,"C1","Lomandra longifolia",0.784,0.798,0.698,0.982456140350877,3,55,"Lomandra longifolia_55"
"218",11,"Low",30,60,"C1","Lomandra longifolia",0.774,0.77,0.709,1,3,54,"Lomandra longifolia_54"
"219",11,"High",48,60,"C1","Lomandra longifolia",0.686,0.791,0.345,0.867256637168142,3,53,"Lomandra longifolia_53"
"220",11,"Low",52,5,"C1","Lomandra longifolia",0.625,0.8,0.618,0.78125,3,54,"Lomandra longifolia_54"
"221",11,"Low",44,15,"C1","Lomandra longifolia",0.734,0.783,0.744,0.937420178799489,3,54,"Lomandra longifolia_54"
"222",11,"Low",48,5,"C1","Lomandra longifolia",0.786,0.818,0.748,0.960880195599022,3,54,"Lomandra longifolia_54"
"223",11,"None",42,30,"C1","Lomandra longifolia",0.815,0.848,0.822,0.961084905660377,3,56,"Lomandra longifolia_56"
"224",11,"None",54,5,"C1","Lomandra longifolia",0.691,0.785,0.665,0.880254777070064,3,56,"Lomandra longifolia_56"
"225",11,"Moderate",54,5,"C1","Lomandra longifolia",0.627,0.793,0.47,0.790668348045397,3,55,"Lomandra longifolia_55"
"226",11,"Low",30,30,"C1","Lomandra longifolia",0.795,0.743,0.731,1,3,54,"Lomandra longifolia_54"
"227",11,"Moderate",48,60,"C1","Lomandra longifolia",0.689,0.672,0.317,1,3,55,"Lomandra longifolia_55"
"228",11,"High",30,30,"C1","Lomandra longifolia",0.772,0.761,0.742,1,3,53,"Lomandra longifolia_53"
"229",11,"High",52,15,"C1","Lomandra longifolia",0.299,0.799,0.301,0.374217772215269,3,53,"Lomandra longifolia_53"
"230",11,"Low",52,60,"C1","Lomandra longifolia",0.373,0.819,0.102,0.455433455433455,3,54,"Lomandra longifolia_54"
"231",11,"Moderate",30,15,"C1","Lomandra longifolia",0.816,0.774,0.788,1,3,55,"Lomandra longifolia_55"
"232",11,"None",58,5,"C1","Lomandra longifolia",0.341,0.791,0.562,0.43109987357775,3,56,"Lomandra longifolia_56"
"233",11,"Low",48,60,"C1","Lomandra longifolia",0.696,0.823,0.458,0.845686512758202,3,54,"Lomandra longifolia_54"
"234",11,"Moderate",44,60,"C1","Lomandra longifolia",0.759,0.842,0.326,0.901425178147268,3,55,"Lomandra longifolia_55"
"235",11,"Moderate",40,60,"C1","Lomandra longifolia",0.74,0.826,0.623,0.89588377723971,3,55,"Lomandra longifolia_55"
"236",11,"High",52,30,"C1","Lomandra longifolia",0.377,0.791,0.352,0.47661188369153,3,53,"Lomandra longifolia_53"
"237",11,"Low",44,30,"C1","Lomandra longifolia",0.81,0.77,0.709,1,3,54,"Lomandra longifolia_54"
"238",11,"High",44,60,"C1","Lomandra longifolia",0.783,0.843,0.563,0.928825622775801,3,53,"Lomandra longifolia_53"
"239",11,"High",44,30,"C1","Lomandra longifolia",0.791,0.8,0.72,0.98875,3,53,"Lomandra longifolia_53"
"240",11,"Moderate",52,15,"C1","Lomandra longifolia",0.639,0.8,0.538,0.79875,3,55,"Lomandra longifolia_55"
